TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:01:18,-0.12,-4.51,8.14,-0.0625,0.125,0.0,-58.0625,48.25,-23.0625,1.43,-0.68,28.87
22:01:18,-0.12,-4.53,8.17,-0.1875,0.0625,0.0,-57.0,50.0625,-24.375,1.43,-0.68,28.87
22:01:19,-0.11,-4.52,8.17,0.125,0.1875,0.0625,-58.875,50.375,-23.0625,1.43,-0.68,28.87
22:01:20,-0.13,-4.52,8.15,0.125,-0.0625,0.0625,-58.0625,49.0,-23.875,1.43,-0.68,28.87
22:01:20,-0.13,-4.52,8.14,0.0625,-0.125,-0.1875,-58.875,49.375,-22.6875,1.43,-0.68,28.87
22:01:21,-0.12,-4.52,8.16,-0.0625,-0.3125,0.0625,-57.75,49.0,-22.6875,1.43,-0.68,28.87
22:01:21,-0.12,-4.51,8.15,0.125,-0.1875,0.0625,-59.25,49.0,-23.5,1.43,-0.68,28.87
22:01:22,-0.13,-4.53,8.15,0.0,0.0625,-0.0625,-59.5625,48.5625,-23.5,1.43,-0.68,28.87
22:01:23,-0.13,-4.5,8.18,0.0,-0.125,-0.0625,-60.25,48.5625,-23.0625,1.43,-0.68,28.87
22:01:23,-0.13,-4.5,8.13,-0.125,0.0625,-0.125,-58.875,49.0,-22.6875,1.43,-0.68,28.87
22:01:24,-0.12,-4.52,8.19,0.0,0.1875,0.0625,-59.5625,49.375,-24.75,1.43,-0.68,28.87
22:01:24,-0.14,-4.5,8.16,0.0625,0.0625,-0.0625,-58.5,49.6875,-23.5,1.43,-0.68,28.87
22:01:25,-0.13,-4.51,8.16,0.125,0.1875,0.25,-58.0625,48.5625,-22.25,1.43,-0.68,28.87
22:01:25,-0.12,-4.55,8.21,0.25,0.1875,0.4375,-57.75,48.25,-24.375,1.37,-0.75,28.87
22:01:26,-0.11,-4.53,8.18,-0.25,-0.3125,-0.3125,-59.875,47.875,-22.6875,1.37,-0.75,28.87
22:01:27,-0.08,-4.51,8.19,-0.0625,-0.0625,-0.4375,-59.5625,50.75,-24.375,1.37,-0.75,28.87
22:01:27,-0.13,-4.53,8.19,0.375,0.3125,0.0625,-58.875,48.25,-23.0625,1.37,-0.75,28.87
22:01:28,-0.12,-4.51,8.18,-0.125,-0.1875,-0.25,-59.5625,48.25,-23.875,1.37,-0.75,28.87
22:01:28,-0.13,-4.52,8.17,-0.125,-0.0625,0.125,-57.75,47.0625,-23.0625,1.37,-0.75,28.87
22:01:29,-0.12,-4.53,8.15,-0.0625,0.0,0.125,-57.75,49.25,-23.0625,1.37,-0.75,28.87
22:01:29,-0.1,-4.51,8.15,-0.0625,0.0,0.125,-58.0625,47.875,-23.875,1.37,-0.75,28.87
22:01:30,-0.12,-4.54,8.16,-0.125,-0.125,-0.0625,-58.0625,48.25,-24.75,1.37,-0.75,28.87
22:01:31,-0.11,-4.52,8.15,0.0,-0.125,0.125,-59.875,48.5625,-23.0625,1.37,-0.75,28.87
22:01:31,-0.12,-4.51,8.16,0.0625,0.0,0.0,-57.375,50.0625,-24.75,1.37,-0.75,28.87
22:01:32,-0.12,-4.51,8.13,-0.125,-0.1875,0.125,-58.5,47.875,-23.5,1.37,-0.75,28.87
22:01:32,-0.11,-4.51,8.16,0.0,0.0625,0.1875,-57.375,48.25,-23.875,1.37,-0.75,28.87
22:01:33,-0.08,-4.53,8.14,-0.125,-0.125,-0.1875,-58.5,48.25,-24.25,1.37,-0.75,28.87
22:01:34,-0.12,-4.53,8.11,0.125,-0.0625,-0.125,-58.875,48.5625,-23.0625,1.37,-0.75,28.87
22:01:34,-0.1,-4.54,8.18,0.0,-0.0625,0.0,-58.0625,49.0,-23.875,1.37,-0.75,28.87
22:01:35,-0.13,-4.52,8.15,0.125,-0.0625,0.0,-59.1875,48.25,-22.6875,1.37,-0.75,28.87
22:01:35,-0.14,-4.53,8.13,-0.0625,-0.1875,-0.0625,-57.75,48.25,-24.25,1.37,-0.75,28.87
22:01:36,-0.13,-4.54,8.17,-0.125,0.125,0.1875,-58.875,48.5625,-22.25,1.37,-0.75,28.87
22:01:36,-0.11,-4.55,8.14,0.25,-0.125,0.375,-59.25,47.875,-23.5,1.37,-0.75,28.87
22:01:37,-0.13,-4.54,8.14,-0.125,-0.1875,-0.125,-59.5625,48.25,-23.0625,1.37,-0.75,28.87
22:01:38,-0.13,-4.52,8.15,0.0625,0.125,0.1875,-58.875,48.5625,-23.5,1.37,-0.75,28.87
22:01:38,-0.13,-4.54,8.14,0.0625,-0.0625,0.1875,-57.375,49.0,-23.875,1.37,-0.75,28.87
22:01:39,-0.11,-4.53,8.17,0.0,0.0,0.0,-59.5625,49.375,-24.75,1.37,-0.75,28.87
22:01:39,-0.13,-4.53,8.15,0.0,0.0,0.0,-57.375,49.0,-23.0625,1.37,-0.75,28.87
22:01:40,-0.12,-4.53,8.14,0.0,0.0625,0.125,-57.375,50.0625,-23.0625,1.37,-0.75,28.87
22:01:41,-0.11,-4.55,8.16,0.0,-0.1875,0.0,-56.6875,49.6875,-22.6875,1.37,-0.75,28.87
22:01:41,-0.1,-4.55,8.16,0.0625,-0.0625,-0.0625,-58.875,50.375,-23.875,1.37,-0.75,28.87
22:01:42,-0.13,-4.52,8.18,0.0,-0.0625,-0.25,-59.5625,47.875,-23.875,1.37,-0.75,28.87
22:01:42,-0.12,-4.51,8.15,0.0,-0.25,0.0,-57.75,48.25,-24.25,1.37,-0.75,28.87
22:01:43,-0.12,-4.54,8.14,-0.0625,0.125,0.125,-57.375,49.375,-23.875,1.37,-0.75,28.87
22:01:43,-0.13,-4.52,8.15,0.0625,0.0625,-0.0625,-60.6875,48.25,-22.6875,1.37,-0.75,28.87
22:01:44,-0.11,-4.53,8.16,0.0,-0.1875,0.25,-57.75,47.875,-24.75,1.37,-0.75,28.87
